준비운동,본운동,마무리운동
1단 줄넘기,1단 줄넘기,1단 줄넘기
2단 줄넘기,2단 줄넘기,50M 달리기
4방향 콘 찍고 달리기,4방향 콘 찍고 달리기,V자 싸이클
50M 달리기,50M 달리기,가슴 스트레칭
S자 달리기,S자 달리기,가슴 어깨 펴기
V자 버티기,V자 버티기,가슴/어깨 스트레칭
V자 싸이클,V자 싸이클,가슴/어깨 앞쪽 스트레칭
W 스텝,W 스텝,걷기
가슴 스트레칭,가슴 스트레칭,겨드랑이 늘리기
가슴 어깨 펴기,가슴 어깨 펴기,결가부좌
가슴/어깨 스트레칭,가슴/어깨 스트레칭,계단 두 칸씩 뛰기
가슴/어깨 앞쪽 스트레칭,가슴/어깨 앞쪽 스트레칭,계단 뛰어 오르기
거꾸로 누워서 밀기,거꾸로 누워서 밀기,계단 오르기
걷기,걷기,계단 올라갔다 내려오기
겨드랑이 늘리기,겨드랑이 늘리기,고관절 스트레칭
결가부좌,결가부좌,고양이 자세
계단 두 칸씩 뛰기,계단 두 칸씩 뛰기,고정식 자전거 타기
계단 두발 뛰기,계단 두발 뛰기,고정식 트레드밀에서 걷기
계단 뛰어 오르기,계단 뛰어 오르기,고혈압환자_심폐지구력운동
계단 오르기,계단 오르기,골다공증을 위한 스트레칭
계단 올라갔다 내려오기,계단 올라갔다 내려오기,골반 스트레칭
계단 한발 뛰기,계단 한발 뛰기,골반 스트레칭2
계이름 치기,계이름 치기,공 잡고 상체 들어올리기
고관절 스트레칭,고관절 스트레칭,관절염을 위한 스트레칭
고양이 자세,고양이 자세,균형 걷기
고정식 자전거 타기,고정식 자전거 타기,깍지 끼고 상체 숙이기
고정식 트레드밀에서 걷기,고정식 트레드밀에서 걷기,깍지끼고 목 들어올리기
고정한 상태에서 덤벨 들고 팔꿈치 굽히기,고정한 상태에서 덤벨 들고 팔꿈치 굽히기,나란히 서서 손잡고 끌어당기기
고혈압환자_순환식 근력운동 프로그램,고혈압환자_순환식 근력운동 프로그램,나무자세
고혈압환자_심폐지구력운동,고혈압환자_심폐지구력운동,나비자세
골다공증을 위한 근력운동1,골다공증을 위한 근력운동1,내전근 스트레칭
골다공증을 위한 근력운동2,골다공증을 위한 근력운동2,넙다리 뒤쪽 스트레칭
골다공증을 위한 스트레칭,골다공증을 위한 스트레칭,넙다리 안쪽 스트레칭
골다공증을 위한 심폐지구력 운동,골다공증을 위한 심폐지구력 운동,넙다리 앞쪽 스트레칭
골반 스트레칭,골반 스트레칭,네발 걷기
골반 스트레칭2,골반 스트레칭2,네발기기 자세로 팔 다리 들기
공 던져 색깔 맞추기,공 던져 색깔 맞추기,누워 다리 들어올리기
공 양손으로 주고 받기,공 양손으로 주고 받기,누워 발목 당겨주기
공 위로 던지고 제자리 돌아 받기,공 위로 던지고 제자리 돌아 받기,누워 한발 원 그리기
공 잡고 들어올리기,공 잡고 들어올리기,누워서 굽힌 다리 펴기
공 잡고 상체 들어올리기,공 잡고 상체 들어올리기,누워서 다리 좌우로 움직이기
공에 엎드려서 상체 들어올리기,관절염을 위한 근력운동1,누워서 다리 펴고 원 그리기
관절염을 위한 근력운동1,관절염을 위한 근력운동2,누워서 배가로근 수축 I
관절염을 위한 근력운동2,관절염을 위한 스트레칭,누워서 엉덩이 들어올리기
관절염을 위한 스트레칭,관절염을 위한 심폐지구력 운동,누워서 전신 뻗기
관절염을 위한 심폐지구력 운동,교차 다리 굽히기,누워서 하늘 자전거
교차 다리 굽히기,굽힘 밸런스운동-60~120도 사이,다리 감아올리기
굽힘 밸런스운동-60~120도 사이,균형 걷기,다리 굽혀(W자) 상체 뒤로 눕기
균형 걷기,깍지 끼고 상체 숙이기,다리 꼬아 상체 앞으로 숙이기
깍지 끼고 상체 숙이기,깍지끼고 목 들어올리기,다리 넓게 벌려 앉았다 일어서기
깍지끼고 목 들어올리기,나란히 서서 손잡고 끌어당기기,다리 들어올리기
나란히 서서 손잡고 끌어당기기,나무자세,다리 모아 뒤로 눕기
나무자세,나비자세,다리 모아 상체 숙이기
나비자세,내전근 스트레칭,다리 벌려 앞으로 상체 숙이기
내전근 스트레칭,넙다리 뒤쪽 스트레칭,다리 벌려 옆으로 상체 숙이기
넙다리 뒤쪽 스트레칭,넙다리 안쪽 스트레칭,다리 올려 의자넘기
넙다리 안쪽 스트레칭,넙다리 앞쪽 스트레칭,다리굽혀 허리 비틀기
넙다리 앞쪽 스트레칭,네발 걷기,다리들어 옆으로 올리기
네발 걷기,네발기기 자세로 팔 다리 들기,다리모아 무릎 누르기
네발기기 자세로 팔 다리 들기,네발기기 자세에서 다리 위로 뻗어올리기,다리뻗어 상체 숙이기
네발기기 자세에서 다리 위로 뻗어올리기,네발기기 자세에서 손바닥으로 바닥밀기,다리자세
네발기기 자세에서 손바닥으로 바닥밀기,누워 다리 들어올리기,달리기
누워 다리 들어올리기,누워 무릎 교차 올리기,대(大)자 점프 뛰기
누워 무릎 교차 올리기,누워 무릎 기울기,대퇴사두근 스트레칭
누워 무릎 기울기,누워 발목 당겨주기,대퇴이두근 스트레칭
누워 발목 당겨주기,누워 한발 원 그리기,대퇴이두근 스트레칭2
누워 한발 원 그리기,누워서 가슴 밀기,덤벨 잡고 앉았다 일어서기
누워서 가슴 밀기,누워서 공 뒤로 내리고 당기기,동적 스트레칭 루틴프로그램
누워서 공 뒤로 내리고 당기기,누워서 공들고 몸 기울이기,뒤꿈치 높이들어 뛰기
누워서 공들고 몸 기울이기,누워서 굽힌 다리 펴기,뒤꿈치 들기
누워서 굽힌 다리 펴기,누워서 다리 굽히기,뒤로 팔 뻗기
누워서 다리 들어올리기,누워서 다리 들어올리기,뒤로 팔굽혀펴기
누워서 다리 좌우로 움직이기,누워서 다리 좌우로 움직이기,등 대고 대퇴이두근 스트레칭
누워서 다리 펴고 원 그리기,누워서 다리 펴고 원 그리기,등 스트레칭
누워서 덤벨 들어올리기,누워서 덤벨 들어올리기,등/어깨 뒤쪽 스트레칭
누워서 덤벨 모아들기,누워서 덤벨 모아들기,뛰어 내렸다가 바로 점프하기
누워서 뒤로 팔굽혀펴기,누워서 뒤로 팔굽혀펴기,라켓으로 공 치며 앞으로 가기
누워서 막대 잡고 팔 들어올리기,누워서 막대 잡고 팔 들어올리기,런지하며 상체 비틀기
누워서 막대 잡고 팔 회전하기,누워서 막대 잡고 팔 회전하기,레그 스윙
누워서 머리 위로 팔꿈치 펴기,누워서 머리 위로 팔꿈치 펴기,마주 앉아 대퇴이두근 스트레칭
누워서 밀기,누워서 밀기,마주 앉아 대퇴이두근 스트레칭2
누워서 배가로근 수축 I,누워서 배가로근 수축 I,마주보고 상체 좌우 비틀기
누워서 배가로근 수축 II,누워서 배가로근 수축 II,마주보고 종아리 펴기
누워서 수직으로 다리 들어올리기,누워서 수직으로 다리 들어올리기,맨몸운동  루틴프로그램
누워서 엉덩이 들어올리기,누워서 엉덩이 들어올리기,머리 위로 볼 돌리기
누워서 전신 뻗기,누워서 전신 뻗기,메디신볼 운동  루틴프로그램
누워서 팔 다리 동시에 들어올리기,누워서 팔 다리 동시에 들어올리기,모관운동
누워서 팔 밀기,누워서 팔 밀기,목 당기기
누워서 하늘 자전거,누워서 하늘 자전거,목 돌리기
다리 감아올리기,다리 감아올리기,목 돌림 스트레칭
다리 교대로 들어올리기,다리 교대로 들어올리기,목 스트레칭
다리 굽혀(W자) 상체 뒤로 눕기,다리 굽혀(W자) 상체 뒤로 눕기,몸 기울이기/회전하기
다리 꼬아 상체 앞으로 숙이기,다리 꼬아 상체 앞으로 숙이기,몸 앞으로 굽히기
다리 넓게 벌려 앉았다 일어서기,다리 넓게 벌려 앉았다 일어서기,몸통 들어올리기
다리 들어올리기,다리 들어올리기,몸통 비틀기
다리 모아 뒤로 눕기,다리 모아 뒤로 눕기,몸통 스트레칭
다리 모아 상체 숙이기,다리 모아 상체 숙이기,몸통 앞으로 굽혀 걷기
다리 모았다 벌려 뛰기,다리 모았다 벌려 뛰기,몸통 옆으로 굽히기
다리 벌려 앞으로 상체 숙이기,다리 벌려 앞으로 상체 숙이기,무릎 굽혀 가슴 닿기
다리 벌려 옆으로 상체 숙이기,다리 벌려 옆으로 상체 숙이기,무릎 높여 제자리 달리기
다리 뻗어 올리기,다리 뻗어 올리기,무릎 당겨올리기
다리 뻗어 점프하기,다리 뻗어 점프하기,무릎 대고 상체 뒤로 젖히기
다리 앞뒤로 벌려 굽혔다 펴기,다리 앞뒤로 벌려 굽혔다 펴기,무릎 대고 옆으로 기울이기
다리 옆으로 들어올리기,다리 옆으로 들어올리기,무릎 들어올리기
다리 올려 의자넘기,다리 올려 의자넘기,무릎 아래에서 양옆으로 굴리기
다리굽혀 허리 비틀기,다리굽혀 허리 비틀기,무릎굽혀 원 그리기
다리들어 옆으로 올리기,다리들어 옆으로 올리기,무릎당겨 다리 올리기
다리로 짐볼 들어올리기,다리로 짐볼 들어올리기,물고기 자세
다리모아 무릎 누르기,다리모아 무릎 누르기,물누르기/올리기
다리벌려 풍차돌기,다리벌려 풍차돌기,물속에서 걷기
다리뻗어 상체 숙이기,다리뻗어 상체 숙이기,물통으로 양팔 들어올리기
다리자세,다리자세,바벨 잡고 들어올리기
달리기,달리기,바운딩 운동  루틴프로그램
대(大)자 점프 뛰기,대(大)자 점프 뛰기,박스 오르내리기
대퇴사두근 스트레칭,대퇴사두근 스트레칭,반달자세
대퇴이두근 스트레칭,대퇴이두근 스트레칭,반복 옆뛰기
대퇴이두근 스트레칭2,대퇴이두근 스트레칭2,발 끝 당기기
덤벨 옆으로 들어올리기,덤벨 옆으로 들어올리기,발 닿기
덤벨 잡고 뒤꿈치 들기,덤벨 잡고 뒤꿈치 들기,발 바꿔 뛰기
덤벨 잡고 몸통 옆으로 굽히기,덤벨 잡고 몸통 옆으로 굽히기,발가락 폄근 스트레칭
덤벨 잡고 앉았다 일어서기,덤벨 잡고 앉았다 일어서기,발등 동시에 늘리기
덤벨 잡고 한발 내밀어 굽혔다 펴기,덤벨 잡고 한발 내밀어 굽혔다 펴기,발등굽힘/발바닥굽힘
동적 스트레칭 루틴프로그램,동적 스트레칭 루틴프로그램,발목 돌리기
두발모아 걷기,두발모아 걷기,발목 얹고 다리 잡아당기기
뒤꿈치 높이들어 뛰기,뒤꿈치 높이들어 뛰기,발바닥 마주대고 끌어당기기
뒤꿈치 들기,뒤꿈치 들기,발바닥 치기
뒤로 팔 뻗기,뒤로 팔 뻗기,배 스트레칭
뒤로 팔굽혀펴기,뒤로 팔굽혀펴기,배스트레칭
뒷발 교차 뛰기,뒷발 교차 뛰기,백 슬라이드
뒷발 의자 올려 굽히기,뒷발 의자 올려 굽히기,밴드 걸고 앉아서 발등 굽힘
등 대고 대퇴이두근 스트레칭,등 대고 대퇴이두근 스트레칭,버피 테스트
등 스트레칭,등 스트레칭,버피운동
등/어깨 뒤쪽 스트레칭,등/어깨 뒤쪽 스트레칭,베개 밟고 서기 평형성 운동 루틴 프로그램
등척성운동-바깥돌림,뛰어 내렸다가 바로 점프하기,베개 밟고 측면으로 양팔 들기
등척성운동-벌림,뛰어 밀기,복부 스트레칭
등척성운동-안쪽 돌림,라켓으로 공 치며 앞으로 가기,복식호흡
뛰어 내렸다가 바로 점프하기,런지하며 상체 비틀기,볼 잡고 몸통 기울이기
뛰어 밀기,레그 스윙,비복근 스트레칭
라켓으로 공 치며 앞으로 가기,마주 앉아 대퇴이두근 스트레칭,빠르게 걷기
런지하며 상체 비틀기,마주 앉아 대퇴이두근 스트레칭2,빠르게 무릎 올려 찍기
레그 스윙,마주보고 상체 좌우 비틀기,빠른 발 뛰기
마주 앉아 대퇴이두근 스트레칭,마주보고 종아리 펴기,사다리 걷기
마주 앉아 대퇴이두근 스트레칭2,막대 잡고 대각선으로 팔 들어올리기,사다리 안팎 뛰기
마주보고 상체 좌우 비틀기,막대 잡고 팔 안쪽/바깥 돌림,사다리 옆으로 발 옮기기
마주보고 종아리 펴기,매달려서 다리 들기,사다리 운동  루틴프로그램
막대 잡고 대각선으로 팔 들어올리기,매달려서 뒤로 팔굽혀 펴기,사다리 좌우 뛰기
막대 잡고 팔 안쪽/바깥 돌림,맨몸운동  루틴프로그램,사이드 지그재그 뛰기
매달려서 다리 들기,머리 뒤로 깍지 끼고 상체 숙이기,사이드 한발 뛰기
매달려서 뒤로 팔굽혀 펴기,머리 위로 공 넘기기,상지 루틴 스트레칭
맨몸운동  루틴프로그램,머리 위로 볼 돌리기,상체 감아올리기
머리 뒤로 깍지 끼고 상체 숙이기,머신이용 근력운동 루틴프로그램,상체 앞으로 숙이기
머리 위로 공 넘기기,메디신 볼 잡고 런지하며 상체비틀기,서서 균형잡기
머리 위로 볼 돌리기,메디신 볼 잡고 팔굽혀펴기,서서 다리 뒤로 차기
머신이용 근력운동 루틴프로그램,메디신볼 운동  루틴프로그램,서서 다리로 탄력밴드 당기기 I
메디신 볼 잡고 런지하며 상체비틀기,모관운동,서서 다리로 탄력밴드 당기기 II
메디신 볼 잡고 팔굽혀펴기,목 굽힘/ 폄 I,서서 뒤꿈치 들기
메디신볼 운동  루틴프로그램,목 굽힘/ 폄 II,서서 발목 누르기
모관운동,목 굽힘/ 폄 III,서서 발목 뒤로 당기기
목 굽힘/ 폄 I,목 당기기,서서 어깨  들어올리기
목 굽힘/ 폄 II,목 돌리기,서서 한팔 들어 오른쪽 왼쪽 뻗기
목 굽힘/ 폄 III,목 돌림 스트레칭,소머리 자세
목 당기기,목 스트레칭,수영
목 돌리기,목봉잡고 앉았다 일어나기,순간반응 콘 찍기
목 돌림 스트레칭,몸 기울이기/회전하기,스카프 라인
목 스트레칭,몸 앞으로 굽히기,스타 투 니 풀
목봉잡고 앉았다 일어나기,몸통 들어올리기,스텝박스
몸 기울이기/회전하기,몸통 비틀기,스텝박스 오르내리기
몸 앞으로 굽히기,몸통 스트레칭,스텝퍼 뛰어서 넘어가기
몸통 들어올리기,몸통 앞으로 굽혀 걷기,스텝퍼 뛰어서 오르내리기
몸통 비틀기,몸통 옆으로 굽히기,스텝퍼 옆으로 뛰어넘기
몸통 스트레칭,무릎 굽혀 가슴 닿기,스텝퍼 오르내리기
몸통 앞으로 굽혀 걷기,무릎 굽혀 엉덩이 들어올리기,시소우
몸통 옆으로 굽히기,무릎 높여 제자리 달리기,실내 자전거타기
무릎 구부려 상체 비틀기,무릎 높이 들어 뛰기,실외 자전거타기
무릎 굽혀 가슴 닿기,무릎 당겨올리기,아기자세
무릎 굽혀 엉덩이 들어올리기,무릎 대고 상체 뒤로 젖히기,아래 팔 스트레칭
무릎 높여 제자리 달리기,무릎 대고 옆으로 기울이기,아령 뒤로 들어올리기
무릎 높이 들어 뛰기,무릎 들어 연속 뛰기,아령 앞으로 들어올리기
무릎 당겨올리기,무릎 들어올리기,아쿠아로빅
무릎 대고 상체 뒤로 젖히기,무릎 아래에서 양옆으로 굴리기,앉아 윗몸 앞으로 굽히기
무릎 대고 옆으로 기울이기,무릎 올려 공 닿기,앉아서 다리 굽히기
무릎 들어 연속 뛰기,무릎-허리 높이로 공 튀기기,앉아서 다리 모으기
무릎 들어올리기,무릎굽혀 원 그리기,앉아서 다리 올리기
무릎 아래에서 양옆으로 굴리기,무릎당겨 다리 올리기,앉아서 다리 펴기
